Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
ChansonF;80s;RollingSt;Metallica;US;Eminem;McSolar;Coeur;Dassin;MJackson;Bowie;Nirvana;ColdPlay;ChantAmphi;Psychobilly;Profond;BillyVoix;Bouzin;Homme;Autre;>54;Oui;Nimp
PopRock;10s;RollingSt;Ramstein;US;Eminem;Orelsan;Boum;Mae;MJackson;Bowie;Maneskin;ColdPlay;BackMet;Austropop;Profond;TolonAccord;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
PopRock;90s;Nirvana;Metallica;US;Eminem;Orelsan;Soiree;Dassin;MJackson;Beyonce;ColdPlay;Queen;Kpop ;Austropop;Joie;GuerinBass;NoComment;Femme;Autre;15-19;Oui;HaHa
PopRock;00s;Nirvana;Ramstein;FR;Eminem;Orelsan;Soiree;Mae;MJackson;Beyonce;ColdPlay;DaftPunk;BackMet;Ziglibithy;Profond;PayetDblKick;Bouzin;Homme;Autre;20-24;Oui;PasStat
Rap;80s;Queen;Metallica;FR;DrDre ;Orelsan;Boum;Saez;MJackson;Beyonce;TameImp;DaftPunk;Kpop ;Chiptune;Folie;GuerinBass;FadeBeurDx;Femme;Autre;15-19;Oui;PasStat
ChansonF;80s;Queen;Ramstein;US;KanyeW;Booba;Coeur;Dassin;MJackson;Beyonce;DaftPunk;TameImp;RapVersail;Austropop;Folie;BillyVoix;FadeBeurDx;Homme;Autre;45-54;Non;Nimp
ChansonF;80s;Queen;IronMaiden;FR;DrDre ;Booba;Oreilles;Sardou;MJackson;MJackson;DaftPunk;Beatles;BackMet;Folktronica;Joie;SarrazSynth;NoComment;Femme;Autre;45-54;Oui;Nimp
Rap;10s;Queen;Metallica;FR;KanyeW;Booba;Coeur;Stromae;Cobain;Beyonce;Beatles;Queen;Kpop ;Austropop;Notes;PayetDblKick;NoComment;Homme;Autre;20-24;Oui;Offens
PopRock;80s;Queen;Metallica;FR;XXXTent;Jul;Coeur;Dassin;MJackson;Dylan;Maneskin;TameImp;Kpop ;Trallpunk;Profond;PayetDblKick;BFF;Femme;3A;20-24;Oui;HaHa
PopRock;00s;Queen;Metallica;FR;Eminem;Orelsan;Soiree;Stromae;Beyonce;Beyonce;Maneskin;DaftPunk;Kpop ;Trallpunk;Profond;GuerinBass;FadeBeurDx;Femme;3A;15-19;Oui;PasStat
ChansonF;80s;PinkFloyd;IronMaiden;FR;SnoopD;McSolar;Oreilles;Mae;MJackson;Dylan;TameImp;TameImp;ChantAmphi;Folktronica;Joie;TolonAccord;ConnaisPas;WTF;Autre;45-54;Oui;PasStat
PopRock;90s;GunsRoses;IronMaiden;FR;Eminem;Orelsan;Soiree;Banabar;Madonna;Hendrix;Maneskin;DaftPunk;Kpop ;Folktronica;Profond;TolonAccord;BFF;Homme;Autre;20-24;Non;PasStat
PopRock;80s;Queen;Motorhead;FR;Eminem;McSolar;Oreilles;Brassens;Bowie;Bowie;DaftPunk;Maneskin;RapVersail;Folktronica;Folie;PayetDblKick;ConnaisPas;Homme;Autre;>54;Oui;HaHa
PopRock;00s;Queen;Metallica;FR;Eminem;Booba;Boum;Mae;MJackson;Beyonce;Maneskin;DaftPunk;ChantAmphi;Ziglibithy;Profond;GuerinBass;ConnaisPas;Femme;Autre;20-24;Non;PasStat
Rap;80s;Queen;Metallica;US;Eminem;Orelsan;Coeur;Dassin;Cobain;Beyonce;DaftPunk;Nirvana;BackMet;Chiptune;Folie;BillyVoix;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
PopRock;80s;PinkFloyd;Metallica;US;Eminem;Orelsan;Boum;Banabar;Beyonce;Beyonce;TameImp;Maneskin;BackMet;Chiptune;Joie;BillyVoix;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;90s;GunsRoses;IronMaiden;FR;XXXTent;Orelsan;Soiree;Saez;Cobain;Cobain;Maneskin;PinkFloyd;ChantAmphi;Trallpunk;Notes;PayetDblKick;FadeBeurDx;Homme;3A;15-19;Oui;HaHa
PopRock;90s;Nirvana;IronMaiden;US;Eminem;McSolar;Boum;Mae;MJackson;Madonna;Beatles;DaftPunk;ChantAmphi;Trallpunk;Joie;BillyVoix;FadeBeurDx;Femme;3A;15-19;Oui;PasStat
PopRock;10s;RollingSt;Metallica;US;Eminem;PNL;Boum;Mae;MJackson;Madonna;DaftPunk;Maneskin;ChantAmphi;Ziglibithy;Profond;PayetDblKick;NoComment;Femme;Autre;20-24;Oui;HaHa
PopRock;80s;LedZep;Metallica;US;Eminem;McSolar;Soiree;Saez;Hendrix;Bowie;Beatles;PinkFloyd;ChantAmphi;Folktronica;Folie;PayetDblKick;ConnaisPas;Homme;Autre;>54;Oui;HaHa
Electro;00s;Queen;Motorhead;US;XXXTent;JoeySt;Coeur;Saez;Beyonce;Hendrix;DaftPunk;Queen;ChantAmphi;Psychobilly;Folie;TolonAccord;Bouzin;Homme;3A;20-24;Oui;HaHa
PopRock;00s;RollingSt;BlackSab;FR;Eminem;Jul;Oreilles;Stromae;MJackson;Beyonce;ColdPlay;DaftPunk;Techno;Folktronica;Profond;TolonAccord;ConnaisPas;Femme;3A;20-24;Oui;PasStat
Indie;70s;LedZep;IronMaiden;US;Eminem;Orelsan;Soiree;Stromae;Beyonce;Joplin;Maneskin;DaftPunk;ChantAmphi;Folktronica;Profond;BillyVoix;NoComment;Femme;3A;20-24;Oui;HaHa
Rap;10s;Nirvana;Metallica;FR;SnoopD;PNL;Coeur;Brassens;MJackson;Beyonce;DaftPunk;PinkFloyd;Reggaeton;Psychobilly;Profond;GuerinBass;NoComment;WTF;Autre;20-24;Non;HaHa
Rap;90s;RollingSt;IronMaiden;US;JayZ;Booba;Soiree;Banabar;MJackson;Beyonce;ColdPlay;Nirvana;BackMet;Austropop;Profond;SarrazSynth;Bouzin;Homme;3A;20-24;Oui;HaHa
